,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
400403,9558029,Dei lange myrane,Dei lange myrane,Dei lange myrane,58.442530000000005,7.80157,H,MRSH,NO,,42.0,4223.0,,,0,,192,Europe/Oslo,2019-12-12
400436,9558062,Dei lange myrane,Dei lange myrane,Dei lange myrane,58.41992,7.746180000000001,H,MRSH,NO,,42.0,4223.0,,,0,,376,Europe/Oslo,2019-12-12
406385,9564075,Dei lange kjerra,Dei lange kjerra,Dei lange kjerra,58.75877,8.84061,H,MRSH,NO,,42.0,4212.0,,,0,,253,Europe/Oslo,2019-12-12
407506,9565209,Dei austre slåttane,Dei austre slattane,"Dei austre slattane,Dei austre slåttane",58.441030000000005,7.74839,H,MRSH,NO,,42.0,4223.0,,,0,,348,Europe/Oslo,2019-12-12
408707,9566415,Dei vie myrane,Dei vie myrane,Dei vie myrane,58.89731999999999,8.46308,H,MRSH,NO,,38.0,3822.0,,,0,,344,Europe/Oslo,2019-12-12
409229,9566942,Dei lange myrane,Dei lange myrane,Dei lange myrane,59.18003,8.44515,H,MRSH,NO,,38.0,3822.0,,,0,,486,Europe/Oslo,2019-12-12
410589,9568309,Dei brente slåttune,Dei brente slattune,"Dei brente slattune,Dei brente slåttune",59.110130000000005,8.61,H,MRSH,NO,,38.0,3822.0,,,0,,707,Europe/Oslo,2019-12-12
412737,9570521,Dei tri myran,Dei tri myran,Dei tri myran,59.30998,8.44556,H,MRSH,NO,,38.0,3821.0,,,0,,274,Europe/Oslo,2019-12-12
412775,9570559,Dei vie myran,Dei vie myran,Dei vie myran,59.35631,8.39362,H,MRSH,NO,,38.0,3821.0,,,0,,800,Europe/Oslo,2019-12-12
414567,9572351,Dei store slåttone,Dei store slattone,"Dei store slattone,Dei store slåttone",58.97159,8.10891,H,MRSH,NO,,42.0,4217.0,,,0,,592,Europe/Oslo,2019-12-12
415695,9573479,Dei store Mjåvatsmyrane,Dei store Mjavatsmyrane,"Dei store Mjavatsmyrane,Dei store Mjåvatsmyrane",58.64676,8.17779,H,MRSH,NO,,42.0,4214.0,,,0,,171,Europe/Oslo,2019-12-12
415697,9573481,Dei store myrane,Dei store myrane,Dei store myrane,58.63956999999999,8.18173,H,MRSH,NO,,42.0,4214.0,,,0,,168,Europe/Oslo,2019-12-12
415997,9573781,Dei flåe myrane,Dei flae myrane,"Dei flae myrane,Dei flåe myrane",59.3643,7.344589999999999,H,MRSH,NO,,42.0,4222.0,,,0,,733,Europe/Oslo,2019-12-12
416101,9573885,Dei store myrane,Dei store myrane,Dei store myrane,58.59313,8.24006,H,MRSH,NO,,42.0,4214.0,,,0,,341,Europe/Oslo,2019-12-12
417329,9575181,Dei håge myran,Dei hage myran,"Dei hage myran,Dei håge myran",59.150090000000006,7.49586,H,MRSH,NO,,42.0,4221.0,,,0,,547,Europe/Oslo,2019-12-12
419803,9577724,Dei lange myran,Dei lange myran,Dei lange myran,58.14253000000001,7.81301,H,MRSH,NO,,42.0,4204.0,,,0,,183,Europe/Oslo,2019-12-12
419874,9577795,Dei blaute holane,Dei blaute holane,Dei blaute holane,58.239340000000006,7.84183,H,MRSH,NO,,42.0,4204.0,,,0,,236,Europe/Oslo,2019-12-12
420190,9578111,Dei blaude fænan,Dei blaude faenan,"Dei blaude faenan,Dei blaude fænan",58.31397,7.646610000000001,H,MRSH,NO,,42.0,4204.0,,,0,,308,Europe/Oslo,2019-12-12
420306,9578227,Dei vie kartan,Dei vie kartan,Dei vie kartan,58.33335,7.5754,H,MRSH,NO,,42.0,4204.0,,,0,,323,Europe/Oslo,2019-12-12
420349,9578270,Dei vestre myran,Dei vestre myran,Dei vestre myran,58.28735,7.5649,H,MRSH,NO,,42.0,4204.0,,,0,,275,Europe/Oslo,2019-12-12
426576,9584497,Dei Store Myrane,Dei Store Myrane,Dei Store Myrane,59.069430000000004,8.944510000000001,H,MRSH,NO,,38.0,3815.0,,,0,,332,Europe/Oslo,2019-12-12
427307,9585229,Dei Breide myrane,Dei Breide myrane,Dei Breide myrane,59.139109999999995,8.72897,H,MRSH,NO,,38.0,3815.0,,,0,,513,Europe/Oslo,2019-12-12
428245,9586168,Dei vide myran,Dei vide myran,Dei vide myran,59.25266,8.53301,H,MRSH,NO,,38.0,3821.0,,,0,,521,Europe/Oslo,2019-12-12
459321,9653766,Dei slette berga,Dei slette berga,Dei slette berga,58.86489,8.55598,T,HLL,NO,,42.0,4217.0,,,0,,435,Europe/Oslo,2019-12-12
479125,9693142,Dei øvre liane,Dei ovre liane,"Dei ovre liane,Dei øvre liane",59.20162,8.7673,T,HLL,NO,,38.0,3815.0,,,0,,477,Europe/Oslo,2019-12-12
504056,9718179,Dei gule skjera,Dei gule skjera,Dei gule skjera,59.015609999999995,5.78586,T,RK,NO,,14.0,1103.0,,,0,,-9999,Europe/Oslo,2014-10-13
521615,9735775,Dei nordare Vålevannsdalane,Dei nordare Valevannsdalane,"Dei nordare Valevannsdalane,Dei nordare Vålevannsdalane",58.45635,7.7043,T,VAL,NO,,42.0,4223.0,,,0,,425,Europe/Oslo,2019-12-12
521616,9735776,Dei heimare Vålevannsdalane,Dei heimare Valevannsdalane,"Dei heimare Valevannsdalane,Dei heimare Vålevannsdalane",58.45315,7.711130000000001,T,VAL,NO,,42.0,4223.0,,,0,,371,Europe/Oslo,2019-12-12
533360,9747531,Dei lange dalane,Dei lange dalane,Dei lange dalane,59.364309999999996,7.210710000000001,T,VAL,NO,,42.0,4222.0,,,0,,1242,Europe/Oslo,2019-12-12
535338,9749575,Dei smale dalan,Dei smale dalan,Dei smale dalan,58.28326,7.564589999999999,T,VAL,NO,,42.0,4204.0,,,0,,298,Europe/Oslo,2019-12-12
